fen,stockfish_eval
8/2k1n2p/2P2Pp1/2K1N3/4P3/8/P4P1P/8 b - - 0 34,-11.89
r2q1rk1/1b3ppp/3p1n2/p1pPn1N1/8/1BN4P/PP3PP1/2RQR1K1 w - - 2 18,0.3
8/1pR5/7p/8/8/8/1Q3PPP/4k1K1 w - - 1 36,110.0
5rk1/6p1/4p2p/p1p5/2P2P2/P5P1/n1K4P/4R2R w - - 0 33,5.13
1r1qkb1r/1p1b1ppp/p2p4/2p1n3/P1BNP3/1PQP1N2/2P2PPP/R3K2R b KQk - 1 13,4.19
2r1k2r/1q1bnp1p/p3p1p1/1pPpP3/1P1B1P2/P2B4/6PP/R2Q1RK1 b k - 1 22,-1.34
r1b2rk1/p1q3pp/2pBpp2/3p4/6n1/1BN1Q3/PPP2PPP/3RR1K1 b - - 0 16,1.27
6k1/2p3p1/3r1p1p/R7/3P1P2/1R1K2PP/8/3r4 w - - 3 36,0.0
2kr3r/1pp1q1p1/p4p2/P7/2npB1n1/3Q2B1/1PP1K3/R6R b - - 0 25,6.14
4r3/1p3R2/2p1r1kp/p7/8/1P4B1/P1P3PP/2K2R2 w - - 0 33,5.96
8/2p2kb1/1p1p3p/p2P1Pp1/2P2p2/5P1P/PP5K/1R6 b - - 1 40,-1.91
r1q5/1pnb2p1/p1pp1k2/4pPpQ/PP2P3/2PP3P/6PK/R4R2 w - - 0 24,102.0
r2q1r2/pp1b2pk/7p/5p2/5Q2/2PB4/PP5P/2KR3R w - - 0 24,0.67
3rk1nr/ppp3pp/2n2p2/3N4/1bQ5/6Pb/PP1KPP1P/R4q2 w k - 4 15,-10.38
8/5p2/5k2/2b5/8/6R1/4K3/1q6 b - - 23 58,12.85
7k/5K2/5R2/8/8/8/8/8 w - - 55 84,110.0
rn1q1rk1/pp3ppp/2pb1n2/3p4/8/3B1N1P/PPPPQP2/RNB2RK1 b - - 0 10,1.5
r2q1rk1/2p2ppp/pp1p1b2/8/2PQPBn1/2N4P/PP3PP1/3R1RK1 w - - 1 15,0.76
6r1/pp3p1k/1b3q1p/3P2r1/2B4R/2P4Q/PP3P1P/5R1K b - - 4 25,102.5
r1bq1rk1/ppp1bppp/2p5/1n6/P2P4/2P5/1P3PPP/RNBQR1K1 b - - 0 10,5.6
r3kbnr/1b1p1pqp/2n1p1p1/4P3/1p3P2/3BBNP1/PP1N3P/R2Q1RK1 b kq - 3 16,-1.62
8/1p1q4/6pk/8/8/p3p2P/P1B3P1/1K1R4 b - - 1 34,11.8
8/7p/6p1/3nkp2/2p1b3/1p5P/p5PK/4R3 w - - 0 45,-10.73
r3kr2/pp1n1q1p/2pb4/3p1b2/8/1Q6/PPPPN1PP/RNB1K2R b KQ - 6 19,5.06
r1bqkb1r/ppp1pppp/2n2n2/3pP3/8/2P5/PPQP1PPP/RNB1KBNR b KQkq - 0 4,1.44
r3brk1/p4ppp/3bpn2/3pN3/3N4/1PP3B1/1P3PPP/R4RK1 b - - 0 16,0.06
2kr4/p1p2p1p/1p2p3/2P5/3Bb3/2N4P/PP3R2/R5K1 b - - 2 22,-5.52
3r3Q/pp2qk2/5p2/3p1N2/4n1p1/6P1/PP3PP1/4R1K1 b - - 0 34,4.42
2kr1b1r/1p4pp/1nn2p2/Pp2pb2/8/2P2N2/1P3PPP/RNB1R1K1 w - - 0 15,-0.95
rnbqk1nr/pp2bppp/3pp3/8/3PP3/2N5/PP3PPP/R1BQKBNR w KQkq - 2 6,1.06
rnb1k1nr/pp3ppp/2P5/4b3/N7/5P2/PPP1K1PP/R1B2BNR b kq - 0 10,0.0
r7/npp2kp1/6Np/p4b2/3P1n2/P1P4P/1P3PP1/RN2R1K1 w - - 4 21,6.9
8/8/p6P/3k4/6KP/8/1b3P2/8 b - - 3 43,6.34
r3r1k1/1p1nb1p1/p1p3p1/3P1p2/1PN1p3/P3P2P/1B3PP1/2R2RK1 w - - 0 21,1.6
2k5/ppp2ppp/5q2/3P4/1b1B4/1P1Q3P/P3rPP1/3R1K1R b - - 0 22,-6.84
4r1k1/p7/1p4p1/2p4p/2P1N3/BP3p2/P4K2/6R1 b - - 0 37,-2.73
rnbqk2r/ppp1Pppp/8/8/8/5N2/PPP1PbPP/RNBQKB1R w KQkq - 0 6,-2.91
r2qkbnr/pp4pp/2n1p3/3pp3/3P4/2N2B1P/PP3PP1/R1BQ1RK1 w kq - 0 12,1.58
r2qr1k1/p1p2ppp/2b1p3/2p1P3/P2P1P2/1PN5/2P3PP/R1Q2RK1 b - - 0 16,4.74
8/6p1/1p1k3r/p2P1p2/2P2P2/1P2P3/6K1/3R4 b - - 10 43,-1.72
